Date,Open,High,Low,Close,Adj Close,Volume
2013-07-26,198400.0,199440.0,193040.0,193040.0,156614.765625,238
2013-07-29,194080.0,195680.0,191680.0,193760.0,157198.890625,207
2013-07-30,192080.0,193120.0,188640.0,191120.0,155057.015625,352
2013-07-31,190080.0,191040.0,186720.0,190160.0,154278.171875,340
2013-08-01,186000.0,186720.0,183360.0,184160.0,149410.328125,256
2013-08-02,184080.0,185280.0,180960.0,180960.0,146814.171875,207
2013-08-05,181840.0,182240.0,180240.0,180720.0,146619.40625,145
2013-08-06,181280.0,186000.0,180880.0,183920.0,149215.609375,202
2013-08-07,185120.0,188800.0,183920.0,184480.0,149669.96875,256
2013-08-08,181760.0,185680.0,180880.0,181920.0,147592.984375,214
2013-08-09,182560.0,185840.0,181120.0,184160.0,149410.328125,179
2013-08-12,186560.0,186560.0,182080.0,183200.0,148631.46875,154
2013-08-13,182320.0,186240.0,178720.0,179920.0,145970.390625,306
2013-08-14,180320.0,182720.0,179440.0,182000.0,147657.890625,329
2013-08-15,187920.0,192640.0,187920.0,191040.0,154992.140625,390
2013-08-16,191120.0,192480.0,188560.0,191520.0,155381.578125,214
2013-08-19,191360.0,192480.0,186560.0,192400.0,156095.5,331
2013-08-20,191440.0,191840.0,187280.0,189760.0,153953.6875,277
2013-08-21,191600.0,193840.0,186800.0,191760.0,155576.265625,449
2013-08-22,189360.0,189680.0,185840.0,186320.0,151162.765625,173
2013-08-23,182080.0,184400.0,181760.0,182560.0,148112.265625,192
2013-08-26,182240.0,183280.0,178000.0,182320.0,147917.53125,295
2013-08-27,188560.0,194560.0,186000.0,193360.0,156874.375,573
2013-08-28,193760.0,193760.0,188560.0,190960.0,154927.21875,356
2013-08-29,191040.0,192000.0,184080.0,187120.0,151811.796875,362
2013-08-30,186640.0,192560.0,186560.0,190480.0,154537.8125,385
2013-09-03,185680.0,189920.0,183280.0,187360.0,152006.5,358
2013-09-04,185760.0,187040.0,180480.0,181120.0,146943.984375,324
2013-09-05,180880.0,181120.0,178960.0,180480.0,146424.71875,135
2013-09-06,178720.0,185840.0,176960.0,179440.0,145580.953125,415
2013-09-09,177680.0,177680.0,172560.0,173200.0,140518.421875,239
2013-09-10,170240.0,172720.0,170160.0,170800.0,138571.265625,235
2013-09-11,174240.0,174960.0,171600.0,171840.0,139415.03125,263
2013-09-12,172000.0,173280.0,170720.0,172400.0,139869.359375,122
2013-09-13,171680.0,174560.0,171360.0,171840.0,139415.03125,120
2013-09-16,167760.0,174400.0,167440.0,173280.0,140583.296875,246
2013-09-17,172320.0,172320.0,169120.0,169680.0,137662.578125,166
2013-09-18,169120.0,170080.0,162560.0,163600.0,132729.859375,455
2013-09-19,162320.0,163280.0,161280.0,162480.0,131821.21875,243
2013-09-20,161280.0,164400.0,160800.0,164080.0,133119.296875,268
2013-09-23,162000.0,167440.0,161520.0,165040.0,133898.125,293
2013-09-24,164160.0,166720.0,162400.0,165040.0,133898.125,256
